recall-discovery	agent-system	agent-system	PASS	AGENTS/copilot/instructions/memory/e2e profiles	规则发现链和 e2e 配置入口存在	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/recall-discovery.log	discovery	e2e_agent_system_discovery
tool-env-check	agent-system	toolchain	PASS	agent-env + bash/git/make/python/gcc/verilator/toolchain	非交互软环境、hard requirements 与 optional tools 可见	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/tool-env-check.log	discovery	e2e_toolchain_check
npc-sim-status	hardware-flow	hardware-flow	PASS	npc/sim Kconfig 与 backend mk	当前 npc/sim 后端状态	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/npc-sim-status.log	discovery	e2e_hardware_flow_npc_sim_status
three-layer-contract	agent-system	agent-system	PASS	AI_ENVIRONMENT.md;.github/instructions/agent-env-layer-contract.instructions.md;.github/skills/agent-env-maintenance/SKILL.md;scripts/agent-maintain.sh	验证一页导航、canonical 路径与 Database/Skill/Agent 三层契约	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/three-layer-contract.log	agent-system	e2e_agent_system_three_layer_contract
runtime-artifact-boundary	agent-system	agent-system	PASS	.github/ai-env/contracts/agent-env-runtime-artifacts.json;.github/ai-env/contracts/agent-env-policy.json;scripts/agent-maintain.sh	验证源码面与运行态 artifact/store 分层边界	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/runtime-artifact-boundary.log	agent-system	e2e_agent_system_runtime_artifact_boundary
state-machine-traceback	agent-system	agent-system	PASS	.github/instructions/agent-env-state-machine.instructions.md;.github/ai-env/contracts/agent-env-state-traceability.json;scripts/e2e/lib/report.sh	验证状态机回退和 task-run state_traceback 字段	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/state-machine-traceback.log	agent-system	e2e_agent_system_state_traceback
reviewer-inspector-gate	agent-system	agent-system	PASS	.github/ai-env/contracts/agent-env-review-routing.json;.github/ai-env/contracts/agent-env-policy.json;.github/e2e/profiles/agent-system.tsv	验证 Reviewer/Inspector 路由已落成 profile 执行节点	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/reviewer-inspector-gate.log	agent-system	e2e_agent_system_reviewer_inspector_gate
rtl-task-contract	agent-system	agent-system	PASS	.github/ai-env/contracts/agent-env-rtl-task-contract.json;.github/instructions/rtl-agent-task-contract.instructions.md;.github/skills/prepare-rtl-task-contract/SKILL.md;.github/skills/prepare-rtl-task-contract/scripts/rtl_task_contract.py	验证本地 RTL 子任务契约可生成、校验、渲染并拒绝越权 mutation	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/rtl-task-contract.log	agent-system	e2e_agent_system_rtl_task_contract
commercial-delivery-readiness	agent-system	agent-system	PASS	.github/ai-env/contracts/agent-env-delivery.json;deliverables/ai-dev-env-commercial-v1;scripts/package-ai-dev-env.sh	验证商业交付包装、旧产物归档和 delivery audit	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/commercial-delivery-readiness.log	agent-system	e2e_agent_system_commercial_delivery_readiness
profile-index	agent-system	agent-system	PASS	.github/e2e/profiles	列出所有可执行 profile	.github/task-runs/2026-07-22-rv64-ptw-pte-write-pmp-current-design-revtag-v9k-2/evidence/profile-index.log	agent-system	e2e_agent_system_profile_index
